year,month,match_name,league_name,club_name,coach,country_name,manager,owner,apperances,wins,losts,drawn,networth
2010,January,Club,LA Liga, Atheletico Madrid,NA,NA,Alvin Lucas,Dean Green,8,7,0,1,745634
2010,February,Club,LA Liga, Atheletico Madrid,NA,NA,Alvin Lucas,Dean Green,8,2,1,5,745634
2010,March,Club,LA Liga, Atheletico Madrid,NA,NA,Alvin Lucas,Dean Green,8,6,1,1,745634
2010,April,Club,LA Liga, Atheletico Madrid,NA,NA,Alvin Lucas,Dean Green,8,6,1,1,745634
2010,May,Club,LA Liga, Atheletico Madrid,NA,NA,Alvin Lucas,Dean Green,8,4,3,1,745634
2010,June,Club,LA Liga, Atheletico Madrid,NA,NA,Alvin Lucas,Dean Green,8,2,3,3,745634
2010,July,Club,LA Liga, Atheletico Madrid,NA,NA,Alvin Lucas,Dean Green,8,6,0,2,745634
2010,August,Club,LA Liga, Atheletico Madrid,NA,NA,Alvin Lucas,Dean Green,8,5,3,0,745634
2010,September,Club,LA Liga, Atheletico Madrid,NA,NA,Alvin Lucas,Dean Green,8,4,2,2,745634
2010,October,Club,LA Liga, Atheletico Madrid,NA,NA,Alvin Lucas,Dean Green,8,7,0,1,745634
2010,November,Club,LA Liga, Atheletico Madrid,NA,NA,Alvin Lucas,Dean Green,8,5,3,0,745634
2010,December,Club,LA Liga, Atheletico Madrid,NA,NA,Alvin Lucas,Dean Green,8,7,1,0,745634
2011,January,Club,LA Liga, Atheletico Madrid,NA,NA,Alvin Lucas,Dean Green,8,7,1,0,563466
2011,February,Club,LA Liga, Atheletico Madrid,NA,NA,Alvin Lucas,Dean Green,8,1,2,5,563466
2011,March,Club,LA Liga, Atheletico Madrid,NA,NA,Alvin Lucas,Dean Green,8,3,3,2,563466
2011,April,Club,LA Liga, Atheletico Madrid,NA,NA,Alvin Lucas,Dean Green,8,0,5,3,563466
2011,May,Club,LA Liga, Atheletico Madrid,NA,NA,Alvin Lucas,Dean Green,8,0,2,6,563466
2011,June,Club,LA Liga, Atheletico Madrid,NA,NA,Alvin Lucas,Dean Green,8,8,0,0,563466
2011,July,Club,LA Liga, Atheletico Madrid,NA,NA,Alvin Lucas,Dean Green,8,7,0,1,563466
2011,August,Club,LA Liga, Atheletico Madrid,NA,NA,Alvin Lucas,Dean Green,8,7,0,1,563466
2011,September,Club,LA Liga, Atheletico Madrid,NA,NA,Alvin Lucas,Dean Green,8,1,2,5,563466
2011,October,Club,LA Liga, Atheletico Madrid,NA,NA,Alvin Lucas,Dean Green,8,2,3,3,563466
2011,November,Club,LA Liga, Atheletico Madrid,NA,NA,Alvin Lucas,Dean Green,8,5,0,3,563466
2011,December,Club,LA Liga, Atheletico Madrid,NA,NA,Alvin Lucas,Dean Green,8,6,2,0,563466
2012,January,Club,LA Liga, Atheletico Madrid,NA,NA,Alvin Lucas,Dean Green,8,6,2,0,567856
2012,February,Club,LA Liga, Atheletico Madrid,NA,NA,Alvin Lucas,Dean Green,8,5,1,2,567856
2012,March,Club,LA Liga, Atheletico Madrid,NA,NA,Alvin Lucas,Dean Green,8,6,0,2,567856
2012,April,Club,LA Liga, Atheletico Madrid,NA,NA,Alvin Lucas,Dean Green,8,5,1,2,567856
2012,May,Club,LA Liga, Atheletico Madrid,NA,NA,Alvin Lucas,Dean Green,8,1,3,4,567856
2012,June,Club,LA Liga, Atheletico Madrid,NA,NA,Alvin Lucas,Dean Green,8,1,2,5,567856
2012,July,Club,LA Liga, Atheletico Madrid,NA,NA,Alvin Lucas,Dean Green,8,3,3,2,567856
2012,August,Club,LA Liga, Atheletico Madrid,NA,NA,Alvin Lucas,Dean Green,8,1,4,3,567856
2012,September,Club,LA Liga, Atheletico Madrid,NA,NA,Alvin Lucas,Dean Green,8,1,3,4,567856
2012,October,Club,LA Liga, Atheletico Madrid,NA,NA,Alvin Lucas,Dean Green,8,3,3,2,567856
2012,November,Club,LA Liga, Atheletico Madrid,NA,NA,Alvin Lucas,Dean Green,8,3,3,2,567856
2012,December,Club,LA Liga, Atheletico Madrid,NA,NA,Alvin Lucas,Dean Green,8,5,1,2,567856
2010,January,Club,EPL,Arsenal,NA,NA,Caesar Townsend,Brandon Townsend,8,2,5,1,756734
2010,February,Club,EPL,Arsenal,NA,NA,Caesar Townsend,Brandon Townsend,8,6,1,1,756734
