factp_id,time_id,match_id,player_id,club_id,country_id,apperances,goal_scored,goal_assist,total_shots,shots_on_target,fouls_made,goals_saved,goals_conceded,total_penalty,successful_penalty,salary
FP00001,T001,M02,P0001,NA,CO08,8,8,3,67,49,8,29,23,2,1,2424.88
FP00002,T002,M02,P0001,NA,CO08,8,7,8,77,44,3,19,21,0,0,2424.88
FP00003,T003,M02,P0001,NA,CO08,8,7,5,59,45,11,26,15,0,0,2424.88
FP00004,T004,M02,P0001,NA,CO08,8,10,8,71,50,7,18,30,3,3,2424.88
FP00005,T005,M02,P0001,NA,CO08,8,10,3,80,45,12,25,25,5,3,2424.88
FP00006,T006,M02,P0001,NA,CO08,8,7,8,63,35,11,16,16,0,0,2424.88
FP00007,T007,M02,P0001,NA,CO08,8,7,2,75,47,7,22,23,0,0,2424.88
FP00008,T008,M02,P0001,NA,CO08,8,7,7,71,31,12,28,20,0,0,2424.88
FP00009,T009,M02,P0001,NA,CO08,8,8,8,54,38,7,17,14,2,1,2424.88
FP00010,T010,M02,P0001,NA,CO08,8,7,1,70,39,12,21,25,0,0,2424.88
FP00011,T011,M02,P0001,NA,CO08,8,7,8,56,46,9,20,24,0,0,2424.88
FP00012,T012,M02,P0001,NA,CO08,8,9,8,78,46,12,21,11,3,2,2424.88
FP00013,T013,M02,P0001,NA,CO08,8,5,6,50,49,3,25,17,1,0,4234
FP00014,T014,M02,P0001,NA,CO08,8,3,1,55,49,7,29,17,3,1,4234
FP00015,T015,M02,P0001,NA,CO08,8,4,8,72,49,8,27,26,4,2,4234
FP00016,T016,M02,P0001,NA,CO08,8,4,3,75,31,8,23,10,3,2,4234
FP00017,T017,M02,P0001,NA,CO08,8,3,8,56,33,10,13,11,3,1,4234
FP00018,T018,M02,P0001,NA,CO08,8,5,8,51,45,3,30,28,4,3,4234
FP00019,T019,M02,P0001,NA,CO08,8,5,7,52,44,9,23,28,5,3,4234
FP00020,T020,M02,P0001,NA,CO08,8,2,2,60,33,7,30,14,3,0,4234
FP00021,T021,M02,P0001,NA,CO08,8,2,1,77,47,1,14,18,1,0,4234
FP00022,T022,M02,P0001,NA,CO08,8,3,7,71,32,0,28,23,2,1,4234
FP00023,T023,M02,P0001,NA,CO08,8,2,2,56,30,10,20,23,1,0,4234
FP00024,T024,M02,P0001,NA,CO08,8,5,7,75,43,0,17,25,5,3,4234
FP00025,T025,M02,P0001,NA,CO08,8,8,1,76,42,6,24,10,9,6,3953.88
FP00026,T026,M02,P0001,NA,CO08,8,7,1,61,49,3,16,19,5,5,3953.88
FP00027,T027,M02,P0001,NA,CO08,8,8,4,58,42,5,18,12,8,6,3953.88
FP00028,T028,M02,P0001,NA,CO08,8,4,8,56,35,10,21,14,2,2,3953.88
FP00029,T029,M02,P0001,NA,CO08,8,4,4,65,40,5,25,26,8,2,3953.88
FP00030,T030,M02,P0001,NA,CO08,8,5,8,64,39,3,23,12,9,3,3953.88
FP00031,T031,M02,P0001,NA,CO08,8,5,2,70,40,10,20,15,10,3,3953.88
FP00032,T032,M02,P0001,NA,CO08,8,4,5,78,49,1,20,18,6,2,3953.88
FP00033,T033,M02,P0001,NA,CO08,8,5,3,72,49,6,20,11,6,3,3953.88
FP00034,T034,M02,P0001,NA,CO08,8,2,2,58,46,8,19,24,7,0,3953.88
FP00035,T035,M02,P0001,NA,CO08,8,2,5,80,43,7,13,12,2,0,3953.88
FP00036,T036,M02,P0001,NA,CO08,8,5,8,78,33,0,29,18,3,3,3953.88
FP00037,T001,M01,P0001,CL22,NA,8,5,1,59,44,3,10,13,2,2,4234
FP00038,T002,M01,P0001,CL22,NA,8,0,8,59,48,2,27,24,3,2,4234
FP00039,T003,M01,P0001,CL22,NA,8,2,2,80,44,9,12,17,1,1,4234
FP00040,T004,M01,P0001,CL22,NA,8,8,2,64,34,3,21,16,6,6,4234
FP00041,T005,M01,P0001,CL22,NA,8,0,5,76,50,8,19,21,3,3,4234
FP00042,T006,M01,P0001,CL22,NA,8,1,3,51,41,7,10,15,9,9,4234
FP00043,T007,M01,P0001,CL22,NA,8,7,2,77,48,1,28,21,9,8,4234
FP00044,T008,M01,P0001,CL22,NA,8,6,2,71,48,3,29,17,1,1,4234
FP00045,T009,M01,P0001,CL22,NA,8,6,1,57,30,7,19,27,6,6,4234
FP00046,T010,M01,P0001,CL22,NA,8,5,4,60,38,10,17,28,9,9,4234
FP00047,T011,M01,P0001,CL22,NA,8,3,3,64,40,9,16,13,0,0,4234
FP00048,T012,M01,P0001,CL22,NA,8,1,5,69,30,3,30,20,2,2,4234
FP00049,T013,M01,P0001,CL22,NA,8,7,1,75,47,10,17,28,4,2,3953.88
FP00050,T014,M01,P0001,CL22,NA,8,7,7,70,33,2,11,29,6,1,3953.88
FP00051,T015,M01,P0001,CL22,NA,8,18,1,73,39,0,22,16,3,2,3953.88
FP00052,T016,M01,P0001,CL22,NA,8,11,8,76,36,5,18,26,10,10,3953.88
FP00053,T017,M01,P0001,CL22,NA,8,5,5,79,37,1,16,29,3,2,3953.88
FP00054,T018,M01,P0001,CL22,NA,8,19,6,52,43,0,14,11,11,10,3953.88
FP00055,T019,M01,P0001,CL22,NA,8,7,7,61,36,7,20,22,1,0,3953.88
FP00056,T020,M01,P0001,CL22,NA,8,11,4,63,32,3,25,14,9,2,3953.88
FP00057,T021,M01,P0001,CL22,NA,8,6,1,64,35,10,26,26,4,2,3953.88
FP00058,T022,M01,P0001,CL22,NA,8,7,5,61,32,0,26,11,4,3,3953.88
FP00059,T023,M01,P0001,CL22,NA,8,11,5,56,43,2,18,18,8,6,3953.88
FP00060,T024,M01,P0001,CL22,NA,8,13,1,59,40,4,10,17,10,3,3953.88
FP00061,T025,M01,P0001,CL21,NA,8,8,5,59,32,5,26,30,6,4,2424.88
FP00062,T026,M01,P0001,CL21,NA,8,4,7,73,36,8,14,30,1,0,2424.88
